name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,month,year,day,dayofweek
"Hà Nội, Việt Nam",2000-01-17,17.9,13.6,15.9,17.9,13.6,15.9,13.6,86.3,0.1,100.0,4.17,['rain'],0.0,0.0,33.5,25.2,56.0,,100.0,8.5,112.5,9.7,4.0,60.0,06:36:19,17:36:36,0.36,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['48823099999', '48820099999']",1,2000,17,0
"Hà Nội, Việt Nam",2000-01-18,15.1,12.4,13.7,15.1,12.4,13.7,10.1,79.4,1.7,100.0,8.33,['rain'],0.0,0.0,33.5,21.6,13.7,,100.0,9.9,112.5,9.7,4.0,60.0,06:36:19,17:37:17,0.4,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['48823099999', '48820099999']",1,2000,18,1
"Hà Nội, Việt Nam",2000-01-19,17.1,12.7,15.1,17.1,12.7,15.1,9.5,70.2,0.7,100.0,4.17,['rain'],0.0,0.0,33.5,11.7,11.3,,94.7,9.0,112.5,9.7,4.0,60.0,06:36:17,17:37:57,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['48823099999', '48820099999']",1,2000,19,2
"Hà Nội, Việt Nam",2000-01-20,15.1,13.1,14.1,15.1,13.1,14.1,7.6,65.2,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,18.0,51.8,,92.8,7.7,112.5,9.7,4.0,60.0,06:36:14,17:38:38,0.47,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",1,2000,20,3
"Hà Nội, Việt Nam",2000-01-21,13.7,12.1,12.9,13.7,12.1,12.9,11.6,92.4,0.7,100.0,4.17,['rain'],0.0,0.0,33.5,10.8,351.6,,99.4,3.7,112.5,9.7,4.0,60.0,06:36:10,17:39:18,0.5,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['48823099999', '48820099999']",1,2000,21,4
"Hà Nội, Việt Nam",2000-01-22,19.1,13.1,15.8,19.1,13.1,15.8,15.1,95.8,1.4,100.0,8.33,['rain'],0.0,0.0,33.5,10.8,259.4,,97.6,4.0,112.5,9.7,4.0,60.0,06:36:04,17:39:59,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['48823099999', '48820099999']",1,2000,22,5
"Hà Nội, Việt Nam",2000-01-23,22.4,16.1,18.8,22.4,16.1,18.8,17.1,90.3,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,14.4,259.1,,80.1,5.9,112.5,9.7,4.0,60.0,06:35:57,17:40:39,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",1,2000,23,6
"Hà Nội, Việt Nam",2000-01-24,24.1,17.1,20.6,24.1,17.1,20.6,18.1,86.8,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,10.8,41.8,,76.2,4.5,112.5,9.7,4.0,60.0,06:35:49,17:41:19,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",1,2000,24,0
"Hà Nội, Việt Nam",2000-01-25,19.9,16.1,17.0,19.9,16.1,17.0,13.6,80.5,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,31.899999999999995,26.3,,92.7,8.7,112.5,9.7,4.0,60.0,06:35:39,17:41:58,0.63,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",1,2000,25,1
"Hà Nội, Việt Nam",2000-01-26,16.4,13.4,14.6,16.4,13.4,14.6,9.0,69.4,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,21.6,10.0,,97.8,9.8,112.5,9.7,4.0,60.0,06:35:28,17:42:37,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",1,2000,26,2
"Hà Nội, Việt Nam",2000-01-27,15.1,11.6,13.0,15.1,11.6,13.0,6.2,63.5,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,18.0,39.5,,68.6,10.1,112.5,9.7,4.0,60.0,06:35:16,17:43:17,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",1,2000,27,3
"Hà Nội, Việt Nam",2000-01-28,15.1,10.4,12.8,15.1,10.4,12.8,6.4,65.4,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,14.4,48.0,,85.0,9.1,112.5,9.7,4.0,60.0,06:35:02,17:43:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",1,2000,28,4
"Hà Nội, Việt Nam",2000-01-29,13.2,12.1,12.9,13.2,12.1,12.9,8.0,72.0,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,18.0,5.0,,97.1,6.3,112.5,9.7,4.0,60.0,06:34:47,17:44:34,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",1,2000,29,5
"Hà Nội, Việt Nam",2000-01-30,14.1,11.9,12.8,14.1,11.9,12.8,6.5,65.6,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,21.6,6.6,,99.4,8.8,112.5,9.7,4.0,60.0,06:34:31,17:45:12,0.79,Overcast,Cloudy skies throughout the day.,cloudy,"['48820099999', '48823099999']",1,2000,30,6
"Hà Nội, Việt Nam",2000-01-31,11.6,10.1,11.0,11.6,10.1,11.0,5.9,71.0,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,18.6,7.9,,99.0,10.0,112.5,9.7,4.0,60.0,06:34:13,17:45:49,0.83,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",1,2000,31,0
"Hà Nội, Việt Nam",2000-02-01,17.1,9.0,12.6,17.1,6.2,12.3,7.2,70.3,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,21.6,14.9,,52.8,9.7,112.5,9.7,4.0,60.0,06:33:54,17:46:27,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",2,2000,1,1
"Hà Nội, Việt Nam",2000-02-02,19.1,9.1,14.3,19.1,8.1,14.2,10.2,77.6,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,10.8,107.0,,17.1,6.7,112.5,9.7,4.0,60.0,06:33:34,17:47:04,0.89,Clear,Clear conditions throughout the day.,clear-day,"['48823099999', '48820099999']",2,2000,2,2
"Hà Nội, Việt Nam",2000-02-03,21.1,11.1,16.1,21.1,11.1,16.1,13.2,83.9,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,13.5,164.4,,22.9,3.5,112.5,9.7,4.0,60.0,06:33:13,17:47:40,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",2,2000,3,3
"Hà Nội, Việt Nam",2000-02-04,20.0,15.1,17.5,20.0,15.1,17.5,15.1,85.9,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,14.4,97.1,,75.8,5.0,112.5,9.7,4.0,60.0,06:32:51,17:48:16,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",2,2000,4,4
"Hà Nội, Việt Nam",2000-02-05,18.1,16.0,17.1,18.1,16.0,17.1,14.3,84.3,0.8,100.0,8.33,['rain'],0.0,0.0,33.5,21.6,45.9,,92.8,7.8,112.5,9.7,4.0,60.0,06:32:27,17:48:52,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['48823099999', '48820099999']",2,2000,5,5
"Hà Nội, Việt Nam",2000-02-06,17.1,13.1,15.0,17.1,13.1,15.0,11.3,78.8,0.7,100.0,4.17,['rain'],0.0,0.0,33.5,18.0,24.6,,85.5,10.2,112.5,9.7,4.0,60.0,06:32:02,17:49:27,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48823099999', '48820099999']",2,2000,6,6
"Hà Nội, Việt Nam",2000-02-07,17.1,14.1,15.9,17.1,14.1,15.9,12.8,82.3,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,25.2,359.9,,92.5,6.9,112.5,9.7,4.0,60.0,06:31:36,17:50:01,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",2,2000,7,0
"Hà Nội, Việt Nam",2000-02-08,18.1,14.1,16.1,18.1,14.1,16.1,10.8,71.7,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,14.4,24.7,,77.0,6.7,112.5,9.7,4.0,60.0,06:31:09,17:50:36,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",2,2000,8,1
"Hà Nội, Việt Nam",2000-02-09,18.7,14.1,16.7,18.7,14.1,16.7,11.1,70.1,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,10.8,44.4,,82.1,9.6,112.5,9.7,4.0,60.0,06:30:40,17:51:09,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48823099999', '48820099999']",2,2000,9,2
"Hà Nội, Việt Nam",2000-02-10,19.1,14.1,16.6,19.1,14.1,16.6,13.9,84.7,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,10.8,333.7,,91.2,4.0,112.5,9.7,4.0,60.0,06:30:11,17:51:43,0.16,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",2,2000,10,3
"Hà Nội, Việt Nam",2000-02-11,19.1,15.1,17.2,19.1,15.1,17.2,16.1,93.4,1.4,100.0,8.33,['rain'],0.0,0.0,33.5,14.4,74.2,,93.5,3.1,112.5,9.7,4.0,60.0,06:29:40,17:52:15,0.2,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['48823099999', '48820099999']",2,2000,11,4
"Hà Nội, Việt Nam",2000-02-12,22.1,17.7,19.6,22.1,17.7,19.6,18.1,91.4,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,21.6,137.6,,90.3,4.2,112.5,9.7,4.0,60.0,06:29:09,17:52:48,0.24,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",2,2000,12,5
"Hà Nội, Việt Nam",2000-02-13,28.1,17.9,21.4,29.3,17.9,21.5,19.0,87.2,0.8,100.0,8.33,['rain'],0.0,0.0,33.5,18.0,129.2,,88.3,5.2,112.5,9.7,4.0,60.0,06:28:36,17:53:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['48823099999', '48820099999']",2,2000,13,6
"Hà Nội, Việt Nam",2000-02-14,24.1,19.7,21.3,24.1,19.7,21.3,19.7,90.8,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,14.4,89.3,,90.6,6.0,112.5,9.7,4.0,60.0,06:28:02,17:53:51,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",2,2000,14,0
